payment_id,order_id,payment_method,payment_status,payment_date,amount,transaction_fee,payment_processor,currency,exchange_rate
2001,1001,credit_card,completed,2023-05-01,1094.91,2.75,stripe,USD,1.00
2002,1002,credit_card,completed,2023-05-01,392.90,2.25,stripe,USD,1.00
2003,1003,paypal,completed,2023-05-03,1378.91,3.50,paypal,USD,1.00
2004,1004,debit_card,completed,2023-05-05,336.99,2.00,square,USD,1.00
2005,1005,credit_card,completed,2023-05-07,105.11,1.75,stripe,USD,1.00
2006,1006,paypal,completed,2023-05-10,986.91,2.75,paypal,USD,1.00
2007,1007,credit_card,completed,2023-05-12,1320.91,3.25,stripe,USD,1.00
2008,1008,debit_card,completed,2023-05-15,207.39,2.00,square,USD,1.00
2009,1009,credit_card,completed,2023-05-18,287.91,2.25,stripe,USD,1.00
2010,1010,paypal,completed,2023-05-20,301.22,2.25,paypal,USD,1.00
2011,1011,credit_card,completed,2023-06-01,1094.91,2.75,stripe,USD,1.00
2012,1012,debit_card,completed,2023-06-03,174.99,1.75,square,USD,1.00
2013,1013,credit_card,completed,2023-06-05,192.22,2.00,stripe,USD,1.00
2014,1014,paypal,completed,2023-06-08,392.90,2.25,paypal,USD,1.00
2015,1015,credit_card,completed,2023-06-10,986.91,2.75,stripe,USD,1.00
2016,1016,credit_card,completed,2023-06-12,1112.91,3.00,stripe,USD,1.00
2017,1017,paypal,completed,2023-06-15,1104.91,3.25,paypal,USD,1.00
2018,1018,credit_card,completed,2023-06-18,3946.91,9.50,stripe,USD,1.00
2019,1019,debit_card,completed,2023-06-20,554.91,2.50,square,USD,1.00
2020,1020,credit_card,completed,2023-06-22,296.63,2.25,stripe,USD,1.00
2021,1021,paypal,completed,2023-06-25,267.95,2.00,paypal,USD,1.00
2022,1022,credit_card,completed,2023-06-28,223.91,2.00,stripe,USD,1.00
2023,1023,debit_card,completed,2023-07-01,446.91,2.50,square,USD,1.00
2024,1024,credit_card,completed,2023-07-03,399.62,2.25,stripe,USD,1.00
2025,1025,paypal,completed,2023-07-05,371.31,2.25,paypal,USD,1.00
2026,1026,credit_card,completed,2023-07-08,341.91,2.25,stripe,USD,1.00
2027,1027,debit_card,completed,2023-07-10,564.91,2.75,square,USD,1.00
2028,1028,credit_card,completed,2023-07-12,564.91,2.75,stripe,USD,1.00
2029,1029,paypal,completed,2023-07-15,550.82,2.75,paypal,USD,1.00
2030,1030,credit_card,completed,2023-07-18,169.91,1.75,stripe,USD,1.00
2031,1031,credit_card,completed,2023-07-20,1212.91,3.25,stripe,USD,1.00
2032,1032,paypal,completed,2023-07-22,446.91,2.50,paypal,USD,1.00
2033,1033,debit_card,completed,2023-07-25,371.31,2.25,square,USD,1.00
2034,1034,credit_card,completed,2023-07-28,158.31,1.75,stripe,USD,1.00
2035,1035,credit_card,completed,2023-08-01,171.62,1.75,stripe,USD,1.00
2036,1036,paypal,completed,2023-08-03,223.91,2.00,paypal,USD,1.00
2037,1037,debit_card,completed,2023-08-05,206.31,2.00,square,USD,1.00
2038,1038,credit_card,completed,2023-08-08,341.91,2.25,stripe,USD,1.00
2039,1039,credit_card,completed,2023-08-10,281.91,2.25,stripe,USD,1.00
2040,1040,paypal,completed,2023-08-12,330.82,2.25,paypal,USD,1.00
2041,1041,credit_card,completed,2023-08-15,1094.91,2.75,stripe,USD,1.00
2042,1042,debit_card,completed,2023-08-18,1428.91,3.50,square,USD,1.00
2043,1043,credit_card,completed,2023-08-20,564.91,2.75,stripe,USD,1.00
2044,1044,paypal,completed,2023-08-22,564.91,2.75,paypal,USD,1.00
2045,1045,credit_card,completed,2023-08-25,486.99,2.50,stripe,USD,1.00
2046,1046,debit_card,completed,2023-08-28,401.78,2.25,square,USD,1.00
2047,1047,credit_card,completed,2023-09-01,105.11,1.75,stripe,USD,1.00
2048,1048,paypal,completed,2023-09-03,287.91,2.25,paypal,USD,1.00
2049,1049,credit_card,completed,2023-09-05,392.90,2.25,stripe,USD,1.00
2050,1050,debit_card,completed,2023-09-08,161.11,1.75,square,USD,1.00
2051,1051,credit_card,completed,2023-09-10,1104.91,3.25,stripe,USD,1.00
2052,1052,paypal,completed,2023-09-12,1093.82,3.25,paypal,USD,1.00
2053,1053,credit_card,completed,2023-09-15,98.31,1.50,stripe,USD,1.00
2054,1054,debit_card,completed,2023-09-18,446.91,2.50,square,USD,1.00
2055,1055,credit_card,completed,2023-09-20,371.31,2.25,stripe,USD,1.00
2056,1056,credit_card,failed,2023-09-22,0.00,0.00,stripe,USD,1.00
2057,1057,paypal,pending,2023-09-25,564.91,2.75,paypal,USD,1.00
2058,1058,credit_card,completed,2023-09-28,1320.91,3.25,stripe,USD,1.00
2059,1059,debit_card,completed,2023-10-01,207.39,2.00,square,USD,1.00
2060,1060,credit_card,completed,2023-10-03,287.91,2.25,stripe,USD,1.00
2061,1061,paypal,completed,2023-10-05,450.34,2.50,paypal,USD,1.00
2062,1062,credit_card,completed,2023-10-08,1104.91,3.25,stripe,USD,1.00
2063,1063,debit_card,completed,2023-10-10,554.91,2.50,square,USD,1.00
2064,1064,credit_card,completed,2023-10-12,171.62,1.75,stripe,USD,1.00
2065,1065,paypal,completed,2023-10-15,446.91,2.50,paypal,USD,1.00
2066,1066,credit_card,completed,2023-10-18,371.31,2.25,stripe,USD,1.00
2067,1067,debit_card,completed,2023-10-20,809.74,3.00,square,USD,1.00
2068,1068,credit_card,completed,2023-10-22,330.82,2.25,stripe,USD,1.00
2069,1069,paypal,completed,2023-10-25,1094.91,2.75,paypal,USD,1.00
2070,1070,credit_card,completed,2023-10-28,1428.91,3.50,stripe,USD,1.00
2071,1071,debit_card,completed,2023-11-01,174.99,1.75,square,USD,1.00
2072,1072,credit_card,completed,2023-11-03,192.22,2.00,stripe,USD,1.00
2073,1073,paypal,completed,2023-11-05,392.90,2.25,paypal,USD,1.00
2074,1074,credit_card,completed,2023-11-08,1212.91,3.25,stripe,USD,1.00
2075,1075,debit_card,completed,2023-11-10,4246.91,10.50,square,USD,1.00
2076,1076,credit_card,completed,2023-11-12,158.31,1.75,stripe,USD,1.00
2077,1077,paypal,completed,2023-11-15,429.82,2.50,paypal,USD,1.00
2078,1078,credit_card,completed,2023-11-18,206.31,2.00,stripe,USD,1.00
2079,1079,debit_card,completed,2023-11-20,341.91,2.25,square,USD,1.00
2080,1080,credit_card,completed,2023-11-22,564.91,2.75,stripe,USD,1.00